productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,district_name,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
39856926,55.0,6300.0,4.0,5.0,4.0,5.0,0,1,tan-phu,106.6235862,10.8072199,https://batdongsan.com.vn/ban-nha-rieng-duong-le-trong-tan-phuong-tay-thanh/chu-gui-ban-gap-moi-100-chua-qua-su-dung-dt-5x11m-duc-1-lung-3-lau-pr39856926,70.0,0,0,0
39856782,47.0,8500.0,3.0,4.0,4.0,7.0,1,1,go-vap,106.7124268,10.8433356,https://batdongsan.com.vn/ban-nha-rieng-duong-2-1-phuong-16-3/can-goc-so-2-16-go-vap-49m2-4-lau-full-noi-that-6-75-ty-pr39856782,67.0,1,1,0
39856618,43.0,8200.0,4.0,4.0,5.0,6.7,1,1,go-vap,106.7124268,10.8433356,https://batdongsan.com.vn/ban-nha-rieng-duong-2-1-phuong-16-3/chinh-chu-ban-so-2-16-go-vap-pr39856618,67.0,0,0,0
39856320,40.0,3900.0,2.0,2.0,2.0,3.0,1,1,thu-duc,106.7662995,10.8505371,https://batdongsan.com.vn/ban-nha-rieng-duong-vo-van-ngan-phuong-binh-tho/hang-hiem-ngay-ben-nga-tu-thu-duc-2tang-40m2-lo-goc-2mt-xe-hoi-chi-nhinh-3ty-tl-pr39856320,71.0,0,0,0
39856022,40.0,9000.0,3.0,3.0,4.0,,1,1,quan-3,106.6854355,10.7913273,https://batdongsan.com.vn/ban-nha-rieng-duong-ly-chinh-thang-phuong-vo-thi-sau/ban-hem-xe-hoi-tran-quoc-thao-quan-3-pr39856022,55.0,0,0,0
39596419,50.0,5500.0,3.0,4.0,5.0,6.0,1,1,nha-be,106.749740600586,10.6843194961548,https://batdongsan.com.vn/ban-nha-rieng-duong-dao-tong-nguyen-thi-tran-nha-be-prj-the-sun-residence/-pho-kdc-thesun-huynh-tan-phat-gara-xe-hoi-mat-tien-nhua-6m-pr39596419,76.0,1,0,0
38117704,110.0,8200.0,3.0,4.0,4.0,6.0,1,1,quan-9,106.773018470886,10.8195825628182,https://batdongsan.com.vn/ban-nha-rieng-duong-do-xuan-hop-phuong-phuoc-long-b/chu-di-dinh-cu-ban-gap-hem-110-m2-pr38117704,61.0,0,0,0
39856616,43.7,6380.0,3.0,4.0,3.0,,1,1,quan-11,106.6498007,10.7721101,https://batdongsan.com.vn/ban-nha-rieng-duong-au-co-phuong-9-10/-quan-tan-binh-6ty38-mtnb-1-p-9-q-11-pr39856616,63.0,0,0,0
39856479,38.9,4500.0,2.0,4.0,3.0,,0,1,quan-8,106.6659811,10.7471999,https://batdongsan.com.vn/ban-nha-rieng-duong-ba-dinh-phuong-10-5/-mt-hem-lau-duc-btct-4-ty-500-trieu-con-thuong-luong-lh-lam-viec-nhanh-gon-pr39856479,60.0,0,0,0
39855940,34.0,8000.0,2.0,2.0,1.0,,0,1,quan-10,106.6659654,10.7653035,https://batdongsan.com.vn/ban-nha-rieng-duong-ba-hat-phuong-8-10/n-hxh-8-quan-10-34m2-2-tang-gia-8-ty-pr39855940,62.0,0,1,0
39828176,37.0,7290.0,3.0,4.0,3.0,,1,1,quan-11,106.6526838,10.7638695,https://batdongsan.com.vn/ban-nha-rieng-duong-le-thi-bach-cat-phuong-13-6/hem-xe-hoi-thong-ngay-dai-hanh-lotte-mart-quan-11-moi-40m2-noi-that-cao-cap-7-29-ty-pr39828176,63.0,0,0,0
39834008,59.0,7200.0,3.0,,,,1,1,thu-duc,106.7181539,10.8456757,https://batdongsan.com.vn/ban-nha-rieng-duong-quoc-lo-13-phuong-hiep-binh-phuoc/ban-moi-xay-4-tang-1-13-5m-gan-van-phuc-city-pr39834008,71.0,1,0,0
39856176,60.0,8200.0,2.0,3.0,2.0,5.05,1,1,binh-thanh,106.6950452,10.8069771,https://batdongsan.com.vn/ban-nha-rieng-duong-no-trang-long-phuong-7-9/ban-hxt-cach-mt-40m-cn-60m2-hau-gia-8-2-ty-tl-pr39856176,66.0,1,1,0
39843233,84.0,6100.0,4.0,4.0,4.0,12.0,1,1,thu-duc,106.723003985181,10.8681373098772,https://batdongsan.com.vn/ban-nha-rieng-duong-so-10-phuong-hiep-binh-phuoc/ban-4-tang-chua-qua-su-dung-truc-nga-4-quoc-lo-13-gia-chi-tu-6-ty-pr39843233,71.0,0,0,0
39705784,111.0,7800.0,1.0,2.0,1.0,7.6,1,1,binh-tan,106.6087687,10.7963609,https://batdongsan.com.vn/ban-nha-rieng-duong-so-8-phuong-binh-hung-hoa/quan-cf-san-vuon-111m2-ra-aeon-chi-3-phut-gia-8ty5-pr39705784,65.0,0,0,0
39855339,56.0,4000.0,2.0,3.0,2.0,4.0,0,1,binh-tan,106.6096908,10.7668701,https://batdongsan.com.vn/ban-nha-rieng-duong-dat-moi-phuong-binh-tri-dong-a/ban-dep-2-tang-56m2-hem-xe-hoi-thong-chu-bao-dang-bo-pr39855339,65.0,1,0,0
39855975,66.0,9000.0,3.0,3.0,2.0,4.0,0,0,binh-thanh,106.7163905,10.8032566,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-gia-tri-phuong-25/ban-hxt-d-quan-binh-thanh-dt-66m2-1t-2l-gan-hang-xanh-9-ty-tl-pr39855975,66.0,0,0,0
39856242,36.0,2680.0,3.0,3.0,3.0,,0,1,binh-tan,106.5919493,10.7982629,https://batdongsan.com.vn/ban-nha-rieng-duong-lien-khu-4-5-phuong-binh-hung-hoa-b/ban-hem-oto-4-5-bhhb-quan-tan-36m2-3-tang-lung-gia-2-68-ty-pr39856242,65.0,1,0,0
39411835,90.0,7000.0,,4.0,,,1,1,quan-9,106.77712933899,10.8206144528865,https://batdongsan.com.vn/ban-nha-rieng-phuong-phuoc-long-b/-4-tang-4-5x19-moi-o-ngay-7-ty-pr39411835,61.0,1,0,0
