,productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
12529,39939556,81.0,12790.0,6.0,6.0,5.0,4 m,1,1,105.8565013,20.983526,https://batdongsan.com.vn/ban-nha-rieng-duong-tan-mai-phuong-hoang-van-thu-4/-pho-dt-81m-x-6-g-gia-12-79-ty-thang-may-phan-lo-o-to-kinh-doanh-pr39939556,8.0,0,0,1
12530,39470322,65.0,21000.0,4.0,,,"4,9 m",1,1,105.8308437,21.0288733,https://batdongsan.com.vn/ban-nha-rieng-duong-cat-linh-phuong-cat-linh/chinh-chu-ban-4-tang-hao-nam-65m-mat-tien-4-9m-o-to-tranh-u-gia-21-ty-pr39470322,3.0,0,0,0
12531,39939769,84.0,15200.0,4.0,4.0,,,0,0,105.7741546,21.0237213,https://batdongsan.com.vn/ban-nha-rieng-duong-my-dinh-phuong-my-dinh-1/-ntl-15-2-ty-dien-tich-84m2-mt-5-8m-4-tang-4pn-o-to-vao-pr39939769,14.0,0,0,0
12532,39940648,45.0,13500.0,5.0,4.0,5.0,"3,3 m",1,1,105.8009999,21.0216524,https://batdongsan.com.vn/ban-nha-rieng-duong-lang-phuong-lang-thuong/-dong-da-gara-o-to-dep-phan-lo-45m2x5t-thang-may-13-5-ty-pr39940648,3.0,0,0,1
12533,39870059,50.0,6900.0,3.0,2.0,,"3,9 m",1,1,105.7891513,21.0523823,https://batdongsan.com.vn/ban-nha-rieng-pho-tran-cung-phuong-co-nhue-1/ban-03-tang-1-mat-ngo-thong-50m2-mt-3-9m-6-9-ty-pr39870059,718.0,0,0,0
12534,39909862,77.0,16000.0,5.0,,,8 m,1,1,105.7818873,21.053854,https://batdongsan.com.vn/ban-nha-rieng-duong-pham-van-dong-phuong-co-nhue-1/ban-phan-lo-bac-tu-liem-lo-goc-thang-may-77m2-mat-tien-8m-16-ty-pr39909862,718.0,0,0,1
12535,39940632,55.0,5250.0,3.0,3.0,3.0,4 m,1,1,105.8840985,21.028876,https://batdongsan.com.vn/ban-nha-rieng-duong-tu-dinh-phuong-long-bien/ban-55m-3-tang-5-25-ty-ngo-3-gac-sat-o-to-tranh-pr39940632,9.0,0,0,0
12536,39940621,68.0,11400.0,7.0,4.0,4.0,5 m,0,0,105.8729201,21.0392207,https://batdongsan.com.vn/ban-nha-rieng-pho-hong-tien-phuong-bo-de/chinh-chu-ban-ai-mo-7-tang-thang-may-gara-o-to-7-cho-lo-goc-vai-buoc-ra-mp-pr39940621,9.0,0,1,1
12537,39817879,36.0,,4.0,4.0,3.0,"3,5 m",1,1,105.8567517,20.9950928,https://batdongsan.com.vn/ban-nha-rieng-duong-minh-khai-phuong-minh-khai/ban-36m2-4x-ty-ba-gac-do-cua-mat-ngo-thong-pr39817879,4.0,0,0,0
12538,39077797,70.0,20500.0,7.0,5.0,6.0,,1,1,105.817596,21.0777116,https://batdongsan.com.vn/ban-nha-rieng-duong-trinh-cong-son-phuong-nhat-tan-2/ban-khu-tay-ho-pr39077797,6.0,0,0,1
12539,39569253,32.0,1690.0,3.0,3.0,,,1,1,105.7190626,20.9319863,https://batdongsan.com.vn/ban-nha-rieng-duong-quoc-lo-6-phuong-bien-giang/-xay-moi-oto-do-cua-gia-chi-1-69ty-x3t-cach-cau-mai-linh-khoang-2km-pr39569253,15.0,1,0,0
12540,39839781,43.0,5550.0,3.0,2.0,2.0,"3,3 m",1,1,105.8426875,20.9779547,https://batdongsan.com.vn/ban-nha-rieng-duong-giap-nhi-phuong-thinh-liet/-ngo-pho-quan-hoang-mai-43-m2-3-tang-chac-chan-gia-5-55-ti-pr39839781,8.0,0,0,0
12541,39243940,40.0,5000.0,5.0,3.0,4.0,,1,1,105.8622032,21.0089288,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-khat-chan-phuong-bach-dang/ban-mat-ngo-nguyen-khoai-40m2-vai-buoc-ra-mat-pho-moi-o-ngay-pr39243940,4.0,0,1,0
12542,39839996,43.0,4950.0,3.0,3.0,3.0,5 m,1,1,105.8632384,21.0088308,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-khat-chan-phuong-thanh-luong/ban-43m-gia-chi-4-95-ty-pr39839996,4.0,0,0,0
12543,39940291,42.0,9000.0,4.0,4.0,,,0,1,105.7675413,20.9699687,https://batdongsan.com.vn/ban-nha-rieng-duong-ngo-gia-tu-phuong-quang-trung-17/ban-phan-lo-o-to-tranh-via-he-rong-kinh-doanh-thong-thoang-cuc-tot-9-ty-pr39940291,15.0,0,0,0
12544,39698906,90.0,27000.0,7.0,6.0,6.0,"9,6 m",1,1,105.8096212,21.029527,https://batdongsan.com.vn/ban-nha-rieng-pho-kim-ma-phuong-ngoc-khanh/ban-biet-thu-dep-quan-ba-dinh-90m2-t-tien-9-6m-hon-20ty-noi-that-nhap-khau-lo-goc-pr39698906,2.0,0,0,1
12545,39893034,48.0,9200.0,7.0,4.0,4.0,5 m,1,1,105.820247106858,20.9898638136009,https://batdongsan.com.vn/ban-nha-rieng-phuong-khuong-dinh/ban-toa-7-tang-thang-may-48m2-lo-goc-sieu-thoang-ngo-o-to-kinh-doanh-gia-chi-9-2-ty-pr39893034,5.0,0,0,1
12546,39888062,52.0,6500.0,4.0,3.0,2.0,"5,45 m",1,1,105.8444419,20.9710885,https://batdongsan.com.vn/ban-nha-rieng-duong-thinh-liet-phuong-thinh-liet/ban-ngo-pho-dien-tich-52-m2-bon-tang-mat-tien-5-45-m-pr39888062,8.0,0,0,0
12547,39940575,42.0,3400.0,4.0,,,,1,1,105.8338168390974700, 20.9325298338474500,https://batdongsan.com.vn/ban-nha-rieng-xa-vinh-quynh/ban-dt-42m-x-4-tang-gia-chi-3-x-ty-chut-full-do-pr39940575,13.0,1,0,0
12548,39928278,60.0,9600.0,5.0,5.0,,,1,1,105.8165027,21.0113,https://batdongsan.com.vn/ban-nha-rieng-duong-yen-lang-phuong-lang-ha/ban-pho-60m2-x-5-tang-thang-may-ngo-rong-cach-oto-tranh-20m-9-6ty-dong-da-so-vuong-pr39928278,3.0,0,0,1
12549,39939597,34.0,6200.0,5.0,3.0,4.0,4 m,0,1,105.7815476,21.0136915,https://batdongsan.com.vn/ban-nha-rieng-duong-me-tri-ha-phuong-me-tri/ban-nam-tu-liem-34m-5-tang-4-m-mat-tien-gia-6-2-ty-pr39939597,14.0,1,0,0
12550,39931955,58.0,9000.0,6.0,,,,1,1,105.8227091,21.0164891,https://batdongsan.com.vn/ban-nha-rieng-pho-hoang-cau-phuong-o-cho-dua/ban-58m2-x6-tang-thang-may-view-ho-gan-full-noi-that-g-9-ty-dong-da-pr39931955,3.0,1,0,1
12551,39939791,30.0,4300.0,5.0,3.0,4.0,"3,6 m",0,1,105.8172158,20.9941825,https://batdongsan.com.vn/ban-nha-rieng-pho-khuong-ha-phuong-khuong-dinh/ban-5-tang-gan-mat-ngo-2-o-to-tranh-pr39939791,5.0,1,0,0
12552,39928745,60.0,8150.0,4.0,4.0,4.0,"4,5 m",1,1,105.8172118,20.9980038,https://batdongsan.com.vn/ban-nha-rieng-pho-vu-tong-phan-phuong-khuong-trung/-moi-dep-vip-chu-tu-xay-tam-quan-thanh-xuan-ngo-thong-taxi-lui-cong-pr39928745,5.0,0,0,0
12553,39303285,58.0,6700.0,4.0,4.0,3.0,5 m,1,1,105.830144898948,21.0058894466155,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-ngoc-nai-phuong-khuong-trung/ban-gap-pho-lo-goc-kinh-doanh-oto-tranh-58m-4-tang-mt-5m-gia-6-5-ty-pr39303285,5.0,0,0,0
12554,39552278,12.0,1950.0,4.0,2.0,2.0,,0,0,105.8393044,21.0012748,https://batdongsan.com.vn/ban-nha-rieng-pho-phuong-mai-phuong-phuong-mai/ban-dong-da-12m2-4-tang-o-ngay-gia-1-95-ty-so-do-san-sang-giao-dich-pr39552278,3.0,0,1,0
12555,39940536,55.0,8100.0,5.0,5.0,4.0,"4,2 m",0,1,105.8210655,20.982789,https://batdongsan.com.vn/ban-nha-rieng-duong-dinh-cong-thuong-phuong-dinh-cong/can-ban-pho-hoang-mai-dt-55-m2-5-tang-mt-4-2-m-gia-8-1-ty-pr39940536,8.0,0,0,0
12556,38168995,40.0,4650.0,4.0,4.0,,"3,3 m",0,1,105.7945406,20.9584268,https://batdongsan.com.vn/ban-nha-rieng-duong-mau-luong-phuong-kien-hung/-dep-xay-moi-1-can-doc-lap-va-duy-nhat-45m2-4t-ngo-thong-kd-nho-pho-xa-la-hn-pr38168995,15.0,0,0,0
12557,39940522,45.0,10800.0,6.0,3.0,5.0,5 m,1,1,105.8723803,21.0438304,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-cu-1-phuong-ngoc-lam-2/ban-o-to-ngo-o-to-tranh-co-via-he-dt-45-50m-6-tang-mt-5m-gia-10-8-ty-pr39940522,9.0,0,0,1
12558,39453095,46.0,17000.0,5.0,5.0,4.0,"4,35 m",0,0,105.8227091,21.0164891,https://batdongsan.com.vn/ban-nha-rieng-pho-hoang-cau-phuong-o-cho-dua/chinh-chu-ban-phan-lo-dong-da-dien-tich-46m2-mat-tien-4-35m-4-5-tang-gia-17-ty-pr39453095,3.0,0,0,0
12559,39939420,50.0,13300.0,5.0,5.0,,5 m,0,1,105.7865737,20.9751401,https://batdongsan.com.vn/ban-nha-rieng-pho-van-phuc-phuong-van-phuc-1/ban-phan-lo-hang-xom-himlam-mat-tien-5m-o-cho-thang-may-pr39939420,15.0,0,0,0
12560,39940502,44.0,13280.0,4.0,4.0,4.0,,1,1,105.7916464,21.0460559,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-quoc-viet-phuong-nghia-tan-3/ban-gap-phan-lo-o-to-tranh-44m-mt4m-13-ty-280tr-pr39940502,7.0,1,0,0
12561,39940492,58.0,4000.0,3.0,,,,1,0,105.860748169553,20.9272506738934,https://batdongsan.com.vn/ban-nha-rieng-xa-ngu-hiep-1/ban-dan-xay-dt-58m-3-tang-o-to-do-cua-gia-dep-chi-4-ty-co-thuong-luong-pr39940492,13.0,0,0,0
12562,39939982,44.0,6000.0,4.0,3.0,3.0,"4,6 m",1,1,105.8611049,21.0049863,https://batdongsan.com.vn/ban-nha-rieng-duong-kim-nguu-phuong-thanh-luong/-dep-o-to-qua-gan-pho-thoang-truoc-sau-pr39939982,4.0,0,1,0
12563,39890201,43.0,4250.0,5.0,4.0,3.0,,1,1,105.747895557642,21.083810542706,https://batdongsan.com.vn/ban-nha-rieng-duong-lien-mac-phuong-lien-mac/ban-quan-bac-tu-liem-5-tang-43m2-xay-moi-don-lap-o-to-do-cong-nhinh-4-ty-pr39890201,718.0,0,1,0
12564,39940463,32.0,6000.0,4.0,3.0,3.0,,1,1,105.7798444,20.9685883,https://batdongsan.com.vn/ban-nha-rieng-duong-le-loi-1-phuong-nguyen-trai-4/ban-hong-phong-4-tang-3-ngu-o-to-10-buoc-6-x-ty-pr39940463,15.0,1,0,0
12565,39940419,43.0,11000.0,,,,,1,1,105.8269044840328500, 21.0384859183781710,https://batdongsan.com.vn/ban-nha-rieng-phuong-ngoc-ha/-5-tang-ba-dinh-ngo-oto-10-phong-khep-kin-kinh-doanh-tot-pr39940419,2.0,1,0,0
12566,39940246,35.0,5000.0,5.0,4.0,4.0,4 m,1,1,105.7670309,21.0236716,https://batdongsan.com.vn/ban-nha-rieng-duong-le-duc-tho-phuong-my-dinh-1/-mat-ngo-35m-5-tang-5-ty-pr39940246,14.0,1,0,0
12567,39919275,50.0,8000.0,4.0,4.0,4.0,"3,8 m",1,1,105.8237,21.00945,https://batdongsan.com.vn/ban-nha-rieng-pho-thai-ha-phuong-khuong-thuong/mat-ngo-nong-thong-tu-50m2-gia-8-ty-can-tim-chu-pr39919275,3.0,0,0,0
12568,39919108,45.0,7800.0,5.0,4.0,4.0,3 m,1,1,105.8220117,21.0047797,https://batdongsan.com.vn/ban-nha-rieng-duong-tay-son-phuong-khuong-thuong/ban-mat-ngo-thong-pho-45m2-gia-7-8-ty-pr39919108,3.0,0,0,0
12569,39940446,62.0,10800.0,3.0,,,,0,0,105.8316475,20.9911424,https://batdongsan.com.vn/ban-nha-rieng-pho-tran-dien-phuong-dinh-cong/ban-phan-lo-sat-khu-do-thi-oto-tranh-62m-gia-10-8-ty-pr39940446,8.0,0,1,0
12570,39940439,40.0,6500.0,5.0,,,,0,1,105.8100579,21.0071311,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-ngan-phuong-nhan-chinh/ban-pho-nhinh-6ty-dep-o-ngay-o-to-cach-30m-40m-x5tang-mt-4-3m-co-o-cho-thang-may-pr39940439,5.0,1,0,1
12571,39895402,65.0,7400.0,2.0,2.0,2.0,"3,4 m",0,1,105.8220117,21.0047797,https://batdongsan.com.vn/ban-nha-rieng-duong-tay-son-phuong-khuong-thuong/ban-dat-o-to-vao-tan-cua-pho-65m2-gia-chi-7-4-ty-pr39895402,3.0,0,0,0
